sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
923734896	CTRL00683	-0.179361	-0.390588	-0.570584	-1.81696	-1.49934	-2.19837	-1.22711	-1.37201	-1.18817
923735578	CTRL00683	-0.379528	-0.841999	-0.884886	-1.29164	-1.56448	-2.08004	-0.860252	-1.52396	-2.15037
904085819	CTRL00749	-4.08358	-1.79434	-2.742	-3.60802	-2.8317	-3.1521	-3.19561	-2.93873	-3.53392
904085811	CTRL00749	-1.56757	-1.83549	-1.62696	-2.70476	-2.32108	-1.96836	-2.46617	-2.26004	-2.53793
1147789207	CTRL00175	-0.779908	-0.349567	-0.724458	-3.26465	-2.92594	-4.11467	-0.824328	-2.37439	-1.48997
1147788663	CTRL00175	-1.04529	-0.788441	-1.37441	-2.27266	-1.23086	-2.23437	-0.902597	-1.14344	-1.15272
1006312792	CTRL00320	-3.18914	-2.05811	-1.91689	-2.76491	-2.73768	-3.37294	-2.91357	-2.29327	-3.30825
1006313200	CTRL00320	-1.80391	-2.19838	-1.89827	-3.05009	-3.88011	-2.91197	-3.0357	-3.03798	-3.70449
1143668510	CTRL00316	-1.96578	-1.30773	-1.42365	-1.68457	-1.36568	-2.00248	-1.66547	-1.54513	-1.88653
1143668526	CTRL00316	-0.881446	-1.2274	-1.08525	-1.70451	-2.07776	-2.54956	-0.992099	-1.6108	-1.16483
1161384366	CTRL00901	-2.48109	-2.98644	-2.45567	-2.32997	-2.31761	-2.76606	-2.72534	-2.27524	-2.21936
1161384218	CTRL00901	-1.86124	-2.20213	-2.11878	-1.27306	-2.48731	-2.81981	-2.03753	-2.24098	-1.69745
906340726	CTRL00890	-1.09157	-1.27933	-1.24799	-2.29815	-1.86457	-3.34533	-1.21217	-1.66028	-2.65269
906336992	CTRL00890	0.246694	-0.24592	-0.281578	-2.1823	-2.73052	-1.71613	-2.85507	-2.52504	-3.0506
1051655581	CTRL00054	-0.594301	-0.774948	-0.480895	-5.51849	-3.72296	-4.77563	-3.54372	-3.40315	-2.52546
1051655566	CTRL00054	-3.4587	-2.63028	-2.81913	-4.83595	-3.89776	-4.93085	-3.64196	-3.92206	-5.80917
1154994009	CTRL00161	-2.94954	-2.55007	-3.06231	-3.13661	-3.15175	-3.0678	-3.29293	-2.52159	-2.757
1154994722	CTRL00161	-2.42835	-2.05055	-2.60631	-1.9754	-2.45259	-2.02896	-2.29493	-2.69068	-2.13812
1200057466	CTRL00757	-0.282318	-0.905122	-0.509869	-0.980565	-1.05293	-1.30803	-1.2645	-1.84513	-1.69429
1200057471	CTRL00757	-0.545571	-0.751461	-0.631915	-1.06027	-0.947651	-1.27048	-0.604097	-0.458861	-0.731356
1056169954	CTRL00678	-3.33739	-3.50099	-3.40014	-4.57856	-3.82466	-5.13551	-3.86881	-3.08169	-2.83812
1056170093	CTRL00678	-3.21181	-2.82929	-2.38127	-3.90375	-3.25329	-4.33315	-4.22131	-2.97542	-5.22707
1139932010	CTRL00712	-2.23661	-1.30489	-1.49232	-2.21857	-2.09843	-2.35175	-1.69875	-1.92726	-1.91176
1139934070	CTRL00712	-1.11109	-1.5307	-1.21405	-2.95531	-2.69834	-2.85425	-2.34759	-2.53721	-3.69856
1074131602	CTRL00232	-2.42359	-2.34996	-1.6919	-1.75065	-2.54368	-2.13383	-3.38017	-2.89446	-2.76327
1074131487	CTRL00232	-2.35906	-2.47881	-1.93547	-3.2883	-2.81652	-4.05767	-2.36705	-3.73866	-3.77593
1064237175	CTRL00946	-0.265711	-0.144158	-0.380255	-0.34725	-0.784707	-0.955282	-0.0534911	-0.120042	-0.00784459
1064239348	CTRL00946	-0.176175	-0.207329	-0.258721	-1.07697	-0.81265	-0.690199	-0.105425	-0.36748	-0.635724
967797954	CTRL00656	0.566148	0.28691	0.740999	0.51219	0.454396	0.596467	0.70039	0.52603	0.790316
967799738	CTRL00656	0.264208	0.323289	-0.0316004	0.13839	-0.0630315	0.153004	0.787996	0.50829	0.289574
1013442099	CTRL00123	-0.0782324	-0.0221143	0.231152	-1.07661	-0.296531	-0.382108	0.459675	0.298528	0.301599
1013444593	CTRL00123	-1.72953	-0.836488	-1.37528	-1.2619	-1.52299	-1.4041	-1.30372	-1.66608	-1.28759
1142845697	CTRL00068	-2.24939	-1.57843	-1.51162	-4.14608	-3.68542	-5.41264	-4.87332	-3.07895	-4.69271
1142845696	CTRL00068	-2.82726	-2.83751	-3.2882	-3.1975	-3.53992	-5.5305	-4.18037	-3.65494	-3.32526
